origen,segment,segmento,marca,modelo_generico,modelo,generacion,version,version_comercial,nro_puertas,cilindrada_en_lts,cilindrada_en_cc,potencia_en_cv,disposicion_cilindros,cantidad_valvulas,codigo_motor,familia_de_motor,sistema_alimentacion,sistema_inyeccion,turbo,combustible,transmision,nro_velocidades,freno_delantero,freno_trasero,traccion,peso,nro_pasajeros,tipo_uso,uso_bus,nro_ejes,periodo,fecha_inicial,fecha_final,año_inicial,año_final,buscador,año,flota,vcdb_marca,vcdb_modelo,a�o_inicial,a�o_final,a�o
ALEMANIA,PASSENGER CARS,SEDAN,VOLKSWAGEN,PASSAT,PASSAT,,2.0 AUTOMATICA 4X2,,4,2.0,2000,150,L4,16,BVY,-,INYECCION ELECTRONICA,INYECCION DIRECTA,ASPIRADO,GASOLINA,AUTOMATICA,-,DISCO VENTILADO,DISCO,4X2,,,,,,2006 - 2009,2006,2009,2006,2009,,2006,18,Volkswagen,Passat,,,
COLOMBIA,HEAVIES,FURGON,CHEVROLET,C70,C70,-,149 TBI, MT GSL 4X2,2,6.5,6500,156,V8,16,396 FI Vin M,396 FI Vin M,CARBURADOR,-,-,GASOLINA,MANUAL,-,-,-,4X2,4920,2,PUBLICO,-,2,1980 - 1993,1980,1993,1980,1993,,1980,18,Chevrolet,C70,,,
COLOMBIA,HEAVIES,FURGON,CHEVROLET,C70,C70,-,189 [ASL], MT TD 4X2,2,6.5,6500,165,L6,8,396,396,INDIRECTA DIESEL,CONVENCIONAL,TURBO,DIESEL,MANUAL,-,-,-,4X2,5000,2,PUBLICO,-,2,1980 - 1993,1980,1993,1980,1993,,1980,18,Chevrolet,C70,,,
COLOMBIA,HEAVIES,BUS / BUSETA / MICROBUS,CHEVROLET,LT,LT,-,500,6.0 MT DSL 4X2 5V  URB,2,6.0,6000,167,L6,12,6BD1/T,6BD1/T,INDIRECTA DIESEL,CONVENCIONAL,-,DIESEL,MANUAL,-,-,-,4X2,13500,40,PUBLICO,URBANO,2,1991 - 1998,1991,1998,1991,1998,,1991,18,,,,,
COLOMBIA,HEAVIES,BUS / BUSETA / MICROBUS,CHEVROLET,LT,LT,-,500,7.5 MT DSL 4X2 6V  INT,2,7.5,7500,167,L6,12,454 Vin Z,454 Vin Z,INDIRECTA DIESEL,CONVENCIONAL,-,DIESEL,MANUAL,-,-,-,4X2,13500,40,PUBLICO,INTERURBANO,2,1991 - 1998,1991,1998,1991,1998,,1991,18,,,,,
COLOMBIA,LIGHT COMMERCIALS,PICKUP SENCILLA,CHEVROLET,LUV,LUV,-,KB 41,1.6 MT 1600CC,2,1.6,1600,80,-,-,G161,-,CARBURADOR,-,-,GASOLINA,MANUAL,-,-,-,4X4,1700,3,PUBLICO,-,2,1982 - 1989,1982,1989,1982,1989,,1982,18,Chevrolet,LUV,,,
COLOMBIA,HEAVIES,REMOLCADOR,CHEVROLET,SUPER BRIGADIER,SUPER BRIGADIER,-,ACL64 185 IN,14.0 MT 14000CC TD 6X4,2,14,14000,350,-,-,-,-,-,-,TURBO,DIESEL,MANUAL,-,-,-,6X4,8930,2,PUBLICO,-,3,1990 - 2000,1990,2000,1990,2000,,1990,18,,,,,
JAPON,PASSENGER CARS,CAMPERO,CHEVROLET,TROOPER,TROOPER,-,960,3.2 AT 3200CC 5P,5,3.2,3165,174,-,-,-,-,-,-,-,GASOLINA,AUTOMATICA,-,-,-,4X4,1961,5,PARTICULAR,-,2,1993 - 2003,1993,2003,1993,2003,,1993,18,,,,,
USA,PASSENGER CARS,CAMIONETA,FORD,ECONOLINE,ECONOLINE G4,G4,E350 XL SD,5.8 AT 5800CC,3,5.8,5800,205,-,-,-,-,-,-,-,GASOLINA,AUTOMATICA,-,-,-,4X2,2365,11,PARTICULAR,-,2,1992 - 1992,1992,1992,1992,1992,,1992,18,Ford,Econoline,,,
VENEZUELA,LIGHT COMMERCIALS,CHASIS,FORD,F150,F150 G9,G9,XL,5.0 MT 5000CC 4X4,2,5.0,5000,185,-,-,-,-,-,-,-,GASOLINA,MANUAL,-,-,-,4X4,2450,,PARTICULAR,-,2,1992 - 1992,1992,1992,1992,1992,,1992,18,Ford,F-150,,,
USA,HEAVIES,CAMION,FORD,F700,F700 III,G3,225 IN,7.0 MT 7000CC 4X2,2,7.0,7000,216,-,-,-,-,-,-,-,GASOLINA,MANUAL,-,-,-,4X2,,2,PUBLICO,-,2,1983 - 1983,1983,1983,1983,1983,,1983,18,Ford,F700,,,
MEXICO,PASSENGER CARS,CAMIONETA,FORD,FOCUS,FOCUS,-,SE,2.0 MT 2000CC 5P,5,2.0,2000,145,L4,16,DURATEC,DURATEC,INYECCION MULTIPUNTO,MULTIPUNTO SECUENCIAL,-,GASOLINA,MANUAL,-,DISCOS VENTILADOS,-,4X2,1261,5,PARTICULAR,-,2,2002 - 2002,2002,2002,2002,2002,,2002,18,Ford,Focus,,,
COLOMBIA,PASSENGER CARS,AUTOMOVIL,MAZDA,626,626,-,MATSURI NIM,2.0 MT 2000CC PC,4,2.0,1991,117,-,-,-,-,-,-,-,GASOLINA,MANUAL,-,-,-,4X2,1210,5,PARTICULAR,-,2,1993 - 1993,1993,1993,1993,1993,,1993,18,Mazda,626,,,
COLOMBIA,PASSENGER CARS,AUTOMOVIL,MAZDA,626,626,-,MATSURI NIA,2.0 AT 2000CC PC,4,2.0,1991,117,-,-,-,-,-,-,-,GASOLINA,AUTOMATICA,-,-,-,4X2,1224,5,PARTICULAR,-,2,1993 - 1993,1993,1993,1993,1993,,1993,18,Mazda,626,,,
COLOMBIA,PASSENGER CARS,AUTOMOVIL,MAZDA,626,626,-,MATSURI HIM,2.0 MT 2000CC PM,5,2.0,1991,117,-,-,-,-,-,-,-,GASOLINA,MANUAL,-,-,-,4X2,1210,5,PARTICULAR,-,2,1993 - 1993,1993,1993,1993,1993,,1993,18,Mazda,626,,,
COLOMBIA,PASSENGER CARS,AUTOMOVIL,MAZDA,626,626,-,MATSURI HIA,2.0 AT 2000CC PC,5,2.0,1991,117,-,-,-,-,-,-,-,GASOLINA,AUTOMATICA,-,-,-,4X2,1224,5,PARTICULAR,-,2,1993 - 1993,1993,1993,1993,1993,,1993,18,Mazda,626,,,
COLOMBIA,PASSENGER CARS,AUTOMOVIL,MAZDA,626,626,-,MATSURI HIA,2.0 AT 2000CC PM,5,2.0,1991,117,-,-,-,-,-,-,-,GASOLINA,AUTOMATICA,-,-,-,4X2,1224,5,PARTICULAR,-,2,1993 - 1993,1993,1993,1993,1993,,1993,18,Mazda,626,,,
BRASIL,HEAVIES,CHASIS,MERCEDES BENZ,1720,1720,-,1720,6.0 MT 6000CC TD 4X2,2,6.0,5958,211,L6,12,OM 366 LA / 377.984,OM 366 LA / 377.984,DIRECTA DIESEL,-,TURBO,DIESEL,MANUAL,-,-,-,4X2,4910,2,PARTICULAR,-,2,1998 - 1998,1998,1998,1998,1998,,1998,18,,,,,
JAPON,PASSENGER CARS,CAMPERO,MITSUBISHI,MONTERO,MONTERO,-,V43 WAGON,3.0 MT 3000CC 5P AA CT JAP,5,3.0,3000,148,-,-,6G72,-,-,-,-,GASOLINA,MANUAL,-,-,-,4X4,1960,7,PARTICULAR,-,2,1992 - 1992,1992,1992,1992,1992,,1992,18,Mitsubishi,Montero,,,
JAPON,PASSENGER CARS,AUTOMOVIL,NISSAN,MAXIMA,MAXIMA,-,[A32] 3.0,3.0 AT 3000CC V6,4,3.0,2988,190,V6,-,VQ30,VQ30,-,-,-,GASOLINA,AUTOMATICA,-,-,-,4X2,1367,5,PARTICULAR,-,2,1995 - 1995,1995,1995,1995,1995,,1995,18,Nissan,Maxima,,,
BRASIL,PASSENGER CARS,CAMIONETA,VOLKSWAGEN,GOLF,GOLF G4,G4,VARIANT,2.0 AT 2000CC 5P,5,2.0,2000,116,-,-,APK,-,-,-,-,GASOLINA,AUTOMATICA,-,DISCOS VENTILADOS,-,4X2,1285,5,PARTICULAR,-,2,2002 - 2002,2002,2002,2002,2002,,2002,18,Volkswagen,Golf,,,
FRANCIA,PASSENGER CARS,AUTOMOVIL,CITROEN,SAXO,SAXO,-,SX,1.4 MT 1400CC 8V 5P,5,1.4,1400,75,-,-,KFX,-,-,-,-,GASOLINA,MANUAL,-,DISCOS VENTILADOS,-,4X2,860,5,PARTICULAR,-,2,1997 - 2003,1997,2003,1997,2003,,1997,18,,,,,
JAPON,PASSENGER CARS,AUTOMOVIL,HONDA,ACCORD,ACCORD G5,G5,EX,2.0 AT 2000CC 4P CT ABS 2AB,4,2.0,1997,148,-,-,A20A2,-,-,-,-,GASOLINA,AUTOMATICA,-,-,-,4X2,1390,5,PARTICULAR,-,2,1994 - 1994,1994,1994,1994,1994,,1994,18,Honda,Accord,,,
MEXICO,HEAVIES,CAMION,INTERNATIONAL,4300,4300,-,SBA,7.6 MT 7600CC TD 4X2  SUPER FULL,2,7.6,7636,215,-,-,-,-,-,-,TURBO,DIESEL,MANUAL,-,-,-,4X2,5121,2,PUBLICO,-,2,2002 - 2002,2002,2002,2002,2002,,2002,18,International,4300,,,
FRANCIA,PASSENGER CARS,AUTOMOVIL,RENAULT,KANGOO,KANGOO,-,METROPOLI,1.4 MT 1400CC SA TAXI,5,1.4,1400,75,L4,8,K7J710,K7J710,INYECCION MULTIPUNTO,-,-,GASOLINA,MANUAL,-,DISCOS VENTILADOS,-,4X2,1050,5,PUBLICO,-,2,2001 - 2001,2001,2001,2001,2001,,2001,18,Renault,Kangoo,,,
FRANCIA,PASSENGER CARS,AUTOMOVIL,RENAULT,LAGUNA,LAGUNA,-,RT,2.0 MT 2000CC,5,2.0,2000,115,L4,8,F3R728,F3R728,INYECCION MULTIPUNTO,-,-,GASOLINA,MANUAL,-,-,-,4X2,1420,5,PARTICULAR,-,2,1995 - 1995,1995,1995,1995,1995,,1995,18,Renault,Laguna,,,
REPUBLICA CHECA,PASSENGER CARS,AUTOMOVIL,SKODA,OCTAVIA,OCTAVIA I,G1,AMBIENTE,1.6 MT 1600CC,5,1.6,1595,100,-,-,-,-,-,-,-,GASOLINA,MANUAL,-,DISCOS VENTILADOS,-,4X2,1180,5,PARTICULAR,-,2,2001 - 2001,2001,2001,2001,2001,,2001,18,Skoda,Octavia,,,
JAPON,PASSENGER CARS,CAMPERO,SUBARU,FORESTER,FORESTER II,G2,AWD X,2.0 AT 2000CC XA,5,2.0,1994,160,-,-,EJ20,-,-,-,-,GASOLINA,AUTOMATICA,-,DISCOS VENTILADOS,-,4X4,1405,5,PARTICULAR,-,2,2002 - 2002,2002,2002,2002,2002,,2002,18,Subaru,Forester,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,BMW,X6,X6,,XDRIVE 40I AC 3.0 5P 4X4 TA,,5,3.0,2998,-,-,-,-,-,-,-,,GASOLINA,AUTOMATICA,-,DISCO VENTILADO,,4X4,,,,,2,2021 - 2022,2021,2022,2021,2022,,2021,17,BMW,X6,,,
CHINA,PASSENGER CARS,SUV,CHANGAN,CS35,CS35,,LUXURY AC 1.6 5P 4X2 TM,,5,1.6,1598,-,-,-,-,-,-,-,,GASOLINA,MANUAL,-,,,4X2,,,,,2,2021 - 2021,2021,2021,2021,2021,,2021,17,Changan,CS35,,,
CHINA,LIGHT COMMERCIALS,VAN,CHANGHE,CH6370,CH6370A,,1.0 MANUAL,,-,1.0,970,48,-,-,DA465QE,-,-,-,,GASOLINA,MANUAL,-,,,-,960,,,,2,2005 - 2006,2005,2006,2005,2006,,2005,17,,,,,
CHINA,PASSENGER CARS,SUV,CHERY,TIGGO,TIGGO 4,,4 1.5T MT LUXURY AC 1.5 5P 4X2 TM,,5,1.5,1498,-,-,-,SQRD4G1,-,INYECCION ELECTRONICA,INYECCION DIRECTA,,GASOLINA,MANUAL,-,,,4X2,,,,,,2019 - 2019,2019,2019,2019,2019,,2019,17,Chery,Tiggo,,,
ECUADOR,PASSENGER CARS,SEDAN,CHEVROLET,CHEVYTAXI,CHEVYTAXI,,AC TM 1.5 4P 4X2,,4,1.5,1498,-,-,-,-,-,-,-,,GASOLINA,MANUAL,-,,,4X2,,,,,,2013 - 2013,2013,2013,2013,2013,,2013,17,,,,,
JAPON,HEAVIES,CAMION,CHEVROLET,CYZ,CYZ 51P,,700P,,-,14.3,14256,-,-,-,6WF1-TC,-,-,-,,GASOLINA,-,-,,,-,,,,,,2012 - 2012,2012,2012,2012,2012,,2012,17,,,,,
ECUADOR,LIGHT COMMERCIALS,PICKUP,CHEVROLET,D-MAX,D-MAX,,CRDI AC 2.5 CS 4X2 TM DIESEL,,2,2.5,2499,134,-,-,4JK-1E5-TC,-,-,INYECCION DIRECTA,TURBO,DIESEL,MANUAL,5,DISCO VENTILADO,TAMBOR,4X2,1615,2,PARTICULAR,,2,2020 - 2020,2020,2020,2020,2020,,2020,17,Chevrolet,D-Max,,,
JAPON,HEAVIES,CAMION,CHEVROLET,FTR,FTR 1624,,EIII 7.8 2P 4X2 TM DIESEL CN,,2,7.8,7790,240,-,-,-,-,-,-,TURBO,DIESEL,MANUAL,-,,,4X2,,2,,,2,2020 - 2020,2020,2020,2020,2020,,2020,17,Chevrolet,FTR,,,
JAPON,HEAVIES,CAMION,CHEVROLET,FVR,FVR 34K,,7.8 MT,,-,7.8,7790,-,-,-,6HK1,-,-,-,,DIESEL,MANUAL,-,,,-,,,,,,2012 - 2012,2012,2012,2012,2012,,2012,17,Chevrolet,FVR,,,
JAPON,HEAVIES,CAMION,CHEVROLET,FVZ,FVZ 34P,,AC 7.8 2P 6X4 TM DIESEL,,2,7.8,7790,280,-,-,-,-,-,-,TURBO,DIESEL,MANUAL,-,,,6X4,,2,,,3,2014 - 2015,2014,2015,2014,2015,,2014,17,Chevrolet,FVZ,,,
COLOMBIA,HEAVIES,CAMION,CHEVROLET,KODIAK,KODIAK,,7.2 MT,,-,7.2,7200,-,-,-,3126E EPA 2000NB,-,-,-,,GASOLINA,MANUAL,-,,,-,,,,,,2007 - 2007,2007,2007,2007,2007,,2007,17,,,,,
JAPON,HEAVIES,CAMION,CHEVROLET,NQR,NQR 1015,,EIII AC 5.2 2P 4X2 TM DIESEL CN,,2,5.2,5193,155,-,-,4HK1TCN,-,COMMON RAIL,INYECCION DIRECTA,TURBO,DIESEL,MANUAL,-,,,4X2,,31,,,2,2020 - 2020,2020,2020,2020,2020,,2020,17,Chevrolet,NQR,,,
COLOMBIA,PASSENGER CARS,STATION WAGON,CHEVROLET,OPTRA,OPTRA,,4.6 MT,,5,4.6,4570,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,-,,,,,,2005 - 2005,2005,2005,2005,2005,,2005,17,Chevrolet,Optra,,,
COREA,PASSENGER CARS,,CHEVROLET,OPTRA,OPTRA,,1.8 MT,,-,1.8,1800,-,L4,-,L84,-,-,-,,GASOLINA,MANUAL,-,,,-,,,,,,2008 - 2008,2008,2008,2008,2008,,2008,17,Chevrolet,Optra,,,
COLOMBIA,PASSENGER CARS,HATCHBACK,CHEVROLET,SPARK,SPARK,,1.8 MANUAL,,-,1.8,1800,-,-,-,-,-,-,-,,GASOLINA,MANUAL,-,,,-,,,,,,2012 - 2012,2012,2012,2012,2012,,2012,17,Chevrolet,Spark,,,
COREA,PASSENGER CARS,HATCHBACK,CHEVROLET,SPARK,SPARK,,1.0 MANUAL,,-,1.0,1000,-,L4,-,LQ4,-,-,-,,GASOLINA,MANUAL,-,,,-,,,,,,2008 - 2008,2008,2008,2008,2008,,2008,17,Chevrolet,Spark,,,
COLOMBIA,LIGHT COMMERCIALS,VAN,CHEVROLET,SUPER CARRY,SUPER CARRY,,1.6 MANUAL,,-,1.6,1600,-,-,-,-,-,-,-,,GASOLINA,MANUAL,-,,,-,,,,,,2004 - 2005,2004,2005,2004,2005,,2004,17,,,,,
BRASIL,PASSENGER CARS,VAN,CHEVROLET,ZAFIRA,ZAFIRA,,2.0 MANUAL 4X2,,-,2.0,2000,136,L4,16,C20SE,-,INYECCION ELECTRONICA,INYECCION INDIRECTA,ASPIRADO,GASOLINA,MANUAL,5,DISCO VENTILADO,DISCO,4X2,,,,,,2004 - 2004,2004,2004,2004,2004,,2004,17,Chevrolet,Zafira,,,
ARGENTINA,PASSENGER CARS,HATCHBACK,CITROEN,C4,C4,,SX,,-,2.0,2000,-,-,-,RFN,-,-,-,,GASOLINA,MANUAL,-,,,-,,,,,,2009 - 2009,2009,2009,2009,2009,,2009,17,Citroen,C4,,,
ESPAÑA,PASSENGER CARS,SEDAN,CITROEN,C-ELYSEE,C-ELYSEE,,AC 1.6 4P 4X2 TA,,4,1.6,1587,115,-,-,EC5,-,INYECCION ELECTRONICA,INYECCION DIRECTA,,GASOLINA,AUTOMATICA,-,DISCO VENTILADO,TAMBOR,4X2,,,,,2,2020 - 2020,2020,2020,2020,2020,,2020,17,Citroen,C-Elysee,,,
ESPAÑA,PASSENGER CARS,SEDAN,CITROEN,C-ELYSEE,C-ELYSEE,,AC 1.6 4P 4X2 TA,,4,1.6,1587,-,-,-,9HJ,-,-,-,,GASOLINA,AUTOMATICA,-,,,4X2,,,,,2,2022 - 2022,2022,2022,2022,2022,,2022,17,Citroen,C-Elysee,,,
CHINA,HEAVIES,CAMION,DONGFENG,DFL1140B,DFL1140B,,AC 6.7 2P 4X2 TM DIESEL,,2,6.7,6690,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,4X2,,,,,,2016 - 2016,2016,2016,2016,2016,,2016,17,,,,,
BRASIL,LIGHT COMMERCIALS,PICK UP,FIAT,STRADA,STRADA,,1.4 MANUAL,,-,1.4,1400,-,L4,-,-,-,-,-,,GASOLINA,MANUAL,-,,,-,,,,,,2010 - 2011,2010,2011,2010,2011,,2010,17,Fiat,Strada,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,FORD,ESCAPE,ESCAPE,,XLS 3.0 4X4 AT,,5,3.0,3000,-,-,-,AJ,-,-,-,,GASOLINA,AUTOMATICA,-,,,4X4,,,,,,2007 - 2008,2007,2008,2007,2008,,2007,17,Ford,Escape,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,FORD,EXPLORER,EXPLORER,,AC 3.5 5P 4X4 TA,,5,3.5,3497,290,-,-,-,-,-,-,,GASOLINA,AUTOMATICA,-,DISCO VENTILADO,,4X4,,7,PARTICULAR,,2,2011 - 2018,2011,2018,2011,2018,,2011,17,Ford,Explorer,,,
VENEZUELA,PASSENGER CARS,,FORD,EXPLORER,EXPLORER,,XLT 4X2 MT,,-,1.6,1600,-,-,-,-,-,-,-,,GASOLINA,MANUAL,-,,,4X2,,,,,,2007 - 2009,2007,2009,2007,2009,,2007,17,Ford,Explorer,,,
ESTADOS UNIDOS,LIGHT COMMERCIALS,,FORD,F-150,F-150,,RC 4X4 4.6 F1EB AT,,-,4.6,4600,-,-,-,-,-,-,-,,GASOLINA,AUTOMATICA,-,,,4X4,,,,,,2010 - 2010,2010,2010,2010,2010,,2010,17,Ford,F-150,,,
ESTADOS UNIDOS,LIGHT COMMERCIALS,,FORD,F-150,F-150,,SC 5.0 4X4 AT,,-,5.0,4951,-,V8,-,99F,-,-,-,,GASOLINA,AUTOMATICA,-,,,4X4,,,,,,2011 - 2011,2011,2011,2011,2011,,2011,17,Ford,F-150,,,
COLOMBIA,LIGHT COMMERCIALS,PICK UP,FORD,F-350,F-350,,5.4 MANUAL,,-,5.4,5400,-,-,-,-,-,-,-,,GASOLINA,MANUAL,-,,,-,,,,,,2004 - 2010,2004,2010,2004,2010,,2004,17,Ford,F-350,,,
VENEZUELA,PASSENGER CARS,,FORD,FIESTA,FIESTA,,4.6 AUTOMATICA,,-,4.6,4601,-,-,-,-,-,-,-,,GASOLINA,AUTOMATICA,-,,,-,,,,,,2004 - 2007,2004,2007,2004,2007,,2004,17,Ford,Fiesta,,,
VENEZUELA,PASSENGER CARS,,FORD,FIESTA,FIESTA,,3.9 MANUAL,,-,3.9,3920,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,-,,,,,,2006 - 2007,2006,2007,2006,2007,,2006,17,Ford,Fiesta,,,
CHINA,HEAVIES,CAMION,FOTON,AUMAN,BJ4269,,BJ4269 AC 11.8 2P 6X4 TM DIESEL,,2,11.8,11800,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,6X4,,,,,,2018 - 2018,2018,2018,2018,2018,,2018,17,Foton,Auman,,,
CHINA,LIGHT COMMERCIALS,PICKUP TRUCK,FOTON,GRATOUR,BJ6477,,FULL BJ6477 AC 1.5 5P 4X2 TM,,5,1.5,1498,-,-,-,-,-,-,-,,GASOLINA,MANUAL,-,,,4X2,,,,,,2019 - 2019,2019,2019,2019,2019,,2019,17,,,,,
CHINA,LIGHT COMMERCIALS,PICK UP,FOTON,TUNLAND,TUNLAND,,I AC 2.8 CD 4X4 TM DIESEL,,4,2.8,2771,170,-,-,CUMMINS ISF,-,-,INYECCION DIRECTA,,DIESEL,MANUAL,-,DISCO VENTILADO,DISCO,4X4,,,,,,2019 - 2019,2019,2019,2019,2019,,2019,17,Foton,Tunland,,,
MEXICO,HEAVIES,CAMION,FREIGHTLINER,M2 112,M2 112,,13.0 MANUAL,,-,13.0,13000,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,-,,,,,,2011 - 2012,2011,2012,2011,2012,,2011,17,Freightliner,M2 112,,,
JAPON,HEAVIES,BUS,HINO,AK8JRSA,AK8JRSA,,7.7 1P 4X2 TM DIESEL,,1,7.7,7684,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,4X2,,,,,,2016 - 2017,2016,2017,2016,2017,,2016,17,,,,,
JAPON,HEAVIES,BUS,HINO,AK8JRSA,AK8JRSA,,7.7 3P 4X2 TM DIESEL,,3,7.7,7684,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,4X2,,,,,2,2021 - 2022,2021,2022,2021,2022,,2021,17,,,,,
COLOMBIA,HEAVIES,CAMION,HINO,FM2PR7A,FM2PR7A-SG3,,SG3 AC 10.5 2P 6X4 TM DIESEL CN,,2,10.5,10520,-,-,-,P11C-VT,-,-,-,,DIESEL,MANUAL,9,,,6X4,,,,,,2018 - 2018,2018,2018,2018,2018,,2018,17,,,,,
CANADA,PASSENGER CARS,,HONDA,CIVIC,CIVIC,,FG1189J-KK 1.8 MT,,-,1.8,1800,-,L4,-,R18A2,-,-,-,,GASOLINA,MANUAL,-,,,-,,,,,,2009 - 2009,2009,2009,2009,2009,,2009,17,Honda,Civic,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,HONDA,CR-V,CR-V,,AC 2.4 5P 4X2 TA,,5,2.4,2400,185,-,-,K24V2,-,INYECCION ELECTRONICA,INYECCION DIRECTA,,GASOLINA,AUTOMATICA,-,,,4X2,,,,,,2014 - 2019,2014,2019,2014,2019,,2014,17,Honda,CR-V,,,
CHINA,PASSENGER CARS,PICK UP,HUANGHAI,N1S,N1S,,AC 2.8 CD 4X2 TM DIESEL,,-,2.8,2771,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,4X2,,,,,,2018 - 2019,2018,2019,2018,2019,,2018,17,,,,,
COREA,PASSENGER CARS,HATCHBACK,HYUNDAI,GETZ,GETZ,,2.5 MANUAL,,-,2.5,2500,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,-,,,,,,2005 - 2005,2005,2005,2005,2005,,2005,17,,,,,
COREA,HEAVIES,CAMION,HYUNDAI,HD270,HD270,,CC I TM 12.92 2P 4X2,,2,12.9,12920,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,4X2,,,,,,2013 - 2013,2013,2013,2013,2013,,2013,17,,,,,
ECUADOR,HEAVIES,CAMION,HYUNDAI,HD45,HD45,,AC 2.6 2P 4X2 TM DIESEL,,-,2.6,2607,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,4X2,,,,,2,2021 - 2021,2021,2021,2021,2021,,2021,17,,,,,
ECUADOR,HEAVIES,CAMION,HYUNDAI,HD78,HD78,,LWB CL AC 3.9 2P 4X2 TM DIESEL,,2,3.9,3907,140,-,-,D4DD,-,-,INYECCION DIRECTA,,DIESEL,MANUAL,-,DISCO VENTILADO,TAMBOR,4X2,,,,,,2018 - 2019,2018,2019,2018,2019,,2018,17,Hyundai,HD78,,,
ESTADOS UNIDOS,HEAVIES,CAMION,INTERNATIONAL,2554,2554,,4.0 MANUAL,,-,4.0,4000,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,-,,,,,,1993 - 1993,1993,1993,1993,1993,,1993,17,,,,,
ARGENTINA,HEAVIES,CAMION,IVECO,TRAKKER,TRAKKER,,12.9 MANUAL,,-,12.9,12880,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,-,,,,,,2008 - 2008,2008,2008,2008,2008,,2008,17,,,,,
CHINA,LIGHT COMMERCIALS,CAMION,JAC,HFC1134KR1,HFC1134KR1,,AC 6.7 2P 4X2 TM DIESEL CN,,2,6.7,6690,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,4X2,,,,,,2016 - 2020,2016,2020,2016,2020,,2016,17,,,,,
CHINA,HEAVIES,CAMION,JAC,HFC4253K3R1,HFC4253K3R1,,11.6 MANUAL,,-,11.6,11596,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,-,,,,,,2009 - 2011,2009,2011,2009,2011,,2009,17,,,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,COMPASS,COMPASS,,SPORT 75 ANIVERSARIO AC 2.4 5P 4X4 TA,,5,2.4,2360,172,-,-,ED3,-,-,-,,GASOLINA,AUTOMATICA,-,,,4X4,,,,,,2016 - 2016,2016,2016,2016,2016,,2016,17,Jeep,Compass,,,
ESTADOS UNIDOS,PASSENGER CARS,SUV,JEEP,GRAND CHEROKEE,GRAND CHEROKEE,,,,5,-,-,-,-,-,-,-,-,-,-,GASOLINA,-,-,,,-,,,,,,1998 - 2002,1998,2002,1998,2002,,1998,17,Jeep,Grand Cherokee,,,
CHINA,PASSENGER CARS,MINIBUS,JOYLONG,HKL6600C,HKL6600C,,AC 2.8 4P 4X2 TM DIESEL,,4,2.8,2776,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,4X2,,,,,,2016 - 2016,2016,2016,2016,2016,,2016,17,,,,,
MEXICO,HEAVIES,CAMION,KENWORTH,T370,T370,,AC 8.3 2P 4X2 TM DIESEL CN,,2,8.3,8300,-,-,-,-,-,-,-,TURBO,DIESEL,MANUAL,-,,,4X2,,2,,,2,2019 - 2020,2019,2020,2019,2020,,2019,17,Kenworth,T370,,,
MEXICO,HEAVIES,CAMION,KENWORTH,T370,T370,,8.3 MANUAL,,-,8.3,8300,-,-,-,-,-,-,-,,DIESEL,MANUAL,-,,,-,,,,,,2010 - 2011,2010,2011,2010,2011,,2010,17,Kenworth,T370,,,
COREA,PASSENGER CARS,SEDAN,KIA,RIO,RIO,,GL,,4,1.5,1493,99,L4,16,A5D,-,-,-,,GASOLINA,MANUAL,5,,,4X2,,5,,,,2004 - 2004,2004,2004,2004,2004,,2004,17,Kia,Rio,,,
JAPON,PASSENGER CARS,SUV,MAZDA,CX-9,CX-9,,HIGH AC 2.5 5P 4X4 TA,,5,2.5,2488,-,-,-,-,-,-,-,,GASOLINA,AUTOMATICA,-,,,4X4,,,,,2,2022 - 2023,2022,2023,2022,2023,,2022,17,Mazda,CX-9,,,
JAPON,PASSENGER CARS,SUV,MAZDA,CX-9,CX-9,,HIGH PLUS AC 2.5 5P 4X4 TA,,5,2.5,2488,-,-,-,-,-,-,-,,GASOLINA,AUTOMATICA,-,,,4X4,,,,,2,2020 - 2022,2020,2022,2020,2022,,2020,17,Mazda,CX-9,,,
